text,english_browser
Create systems where the students and teachers can talk in english in real Time.,no
Creating a channel of communication to help students,no
"Creating a social network in MOOCs, to share emails and skype accounts, for speak english in group :D

Sorry for my language, I try to write this paragraph without translate :P",yes
CREATING CONVERSATION PANELS,no
Creating courses for people with a low level of English.,yes
Creating courses similar to this intermediate and also advance.,yes
Creating courses with the explanation in English and the other language,no
Creating events that allow students to interact with native English speakers,yes
Creating groups of people in order to help them to develop their communication skills.,no
"Creating groups to practice speaking and writting, maybe in skype or others platforms.",yes
Creating more courses about the language.,no
"creating more MOOCs to help students improving the language because i know English but sometimes i do not feel sure talking it. However , i am struggling  to improve my skills in english. ",no
Creating new activities more interesting for the students that want to take this course,no
Creating new courses online,yes
creating practical course and easy to learn,no
"creating tools that can help, as glossaries, dictionaries, etc.",no
"Creo que formando grupos de conversación con tutor que dirija o corrija. No hablo nada de lo que supuestamente sé de inglés, tampoco escribo nada con la seguridad de estar haciéndolo bien.",no
"Creo que la ayuda que ya están ustedes poniendo al alcance de todas las personas, es lo mejor para cualquier persona que desee realmente aprender el idioma Ingles. ",no
creo que masificando el ingles para que puedan tener con quien practicar,no
"creo que se debe realizar el curso mas interactivo, no solo vídeos y la traducción.
por esa esa metodología es como solo ver una película con el audio en ingles y el subtitulo en español
quise aplicar a este curso por que necesito y quiero aprender ingles pero solo en la primera unidad viendo los vídeos, no se como la gente ha aprendido.
creo que este curso esta diseñado para personas con conocimiento en ingles y no para personas que no saben nada.
no soy un experto para decir cual es la mejor metodología, pero apenas estoy en la primera unidad en el curso y no he entendido nada.
solo entendí cuando busque en google y  realice una traducción.

",no
"Cuando se este interactuando realizar audivisual con lo que se hable, para utilizar no solo el sentido del aido, sino de la vista y crear una relación del contexto que ayude a comprender el idioma. ",no
"Cuando un estudiante no nativo decide estudiar ingles tiene una necesidad especifica, sin embargo quiere poner su conocimiento en practica de acuerdo a su nivel de entendimiento y comprensión de lo aprendido, en la medida que pueda poner en practica lo aprendido (foros, club de conversación, etc...)  posiblemente se sienta mas satisfecho y quiera continuar con la motivación con la que inicio su curso. ",no
currently I am not sure since it is my first time doing a MOOCs,yes
Currently I am satisfied with MOOC,yes
Currently I don't know.,no
"currently most universities in the world are conscious about the importance of the on line education and we have a wide variety of MOOCs in many languages, so everyday more and more people around the world benefit from  this resources. ",yes
currently no,no
"Currently they offer good possibility for non-English speaking people, delivering subtitling in groin is the best.",no
"Cursos mas claros

",no
Больше знаний ,no
"Было бы здорово ввести курс с разбором ""английского языка"" на русском.",no
вдосконалити навички англійської мови,no
все устраивает,no
"dándonos herramientas practicas que nos impulsen a hablar inglés, creo que uno de los mas grandes temores cuando no somos nativos es equivocarnos a la hora de entablar una conversación, pero la practica nos ayudara a mejorar",no
"Daily activities in english, fluency, vocabulary are my requirement",yes
Daily practicing exercise should be add,yes
Dando las instrucciones en español,no
Dando opcion a traducir las palabras que no se conozcan,no
"dandole un asesoramiento, un acompañamiento efectivo para que se fortalezcan las habilidades en el idioma de ingles",no
Dar los cursos en español,no
ddddd,no
"Ddon't speak as fast as if you were talking to a English speaker native ,and availability to reduce the video's velocity.",yes
De varias formas,no
"Dear Respective.
Here i'm new joining this course. And i'm student of undergraduate but my English speaking is not well and also my English conversation confidence is very low so i thought that the course help me to improve my speaking English language and confidence. I hope the MOOCs change me and my study career. ",yes
"Dear sir or madam. 
I am writing in response to your require for critisize to MOOCs. In my opinion it is important for the course to attracting the English learners.",no
"Dear Sir,
             It should be simple. I can read and write as well English but I can't speak fluently and have hesitation to speak in English. I always think at the time speaking in English that it is write grammatically . Therefore, suggest methodolies how we can improve my English speaking

With Regards",yes
"Debería haber versiones de diferentes lenguajes para que cada persona pueda optar en tomarlo en el idioma que le convenga, ya sea en inglés, español, italiano, frances, etc.
Hay algunos cursos que creo que no los voy a poder realizar ya que creo que se me va a hacer difícil entenderlo en otro idioma. Sugiero, ya que mucha gente de habla hispana toma sus cursos, que suban el material en español.",yes
"Decrease the certificate cost, thank you.",yes
"Definitely, you have to promote conversation/situations activities of real-life situations to force non-native speakers to understand it.
I think the best way to learn English is in real life, rather than master classes.",yes
"Deos   Not Apply yo me
",no
desarrollando las lecciones de una manera en que los estudiantes puedan comprenderlos y relacionar los conceptos aprendidos en sus actividades diarias.,no
"desarrollando los cursos con algunas ayudas, ya que muchas veces el vocabulario o de mas partes del curso no las tenemos muy claras o no las conocemos, en esa parte se nos dificulta un poco.",no
desarrollar fluidez de comunicacion.,yes
description ,yes
design a program such that it really helps to improve writing skills and spoken english,yes
design a series of fun way to train learner  who will put heart into studing on English.TKS.,no
Design course with their understanding as English is not their native language.,yes
Design more courses in other major languages.,yes
"Designing relevant learning activities that help students improve their English skills while learning about the main course topic. 
Providing online help for students. ",no
Designing the course structure keeping the background of the student in mind.,yes
"Detailing the pre-conditions (skills, vocabulary etc) to better improve learning process.",no
Develoopp our skills and vocabulary in conversation ,no
Develop an APP for users,no
develop conversation sessions,no
"Develop many English language courses for various learners at different levels. If possible, introduce English chats.  ",yes
"Develop MOOCs in some other popular languages as well, Like Spanish.",yes
Develop the phonatics ,no
Developing an specific App to review our pronunciation ,no
developing courses in their native lenguage.,yes
Developing courses like these,yes
Developing Mobile App.,no
"Developing MOOC's for English learners in specific areas. For instance, I'm a lawyer and I need to learn legal English, and it is so dificult to find any course of this subject. ",no
Developing more courses that improve English language skills,no
Developing their speaking skill because people who live in non-English has a difficult problem to speak,yes
dictionary,yes
"dictionary of new words

subscription to the videos

",yes
"Different videos, specific tips and skype conversations ",no
"Differents activities, differents teachers, accents, online examples, apps",yes
"Difficult to comment at present as I haven't gone through any MOOCs course.
Thank you ",yes
direct ,no
Directions in their native language ;),yes
Disclose more this course ,no
"discuss,say english.",no
Disponibilizar mais cursos para iniciantes em inglês.,no
DIVERSITY OF SUBJECTS AND DEALING WITH REAL SITUATIONS,yes
do activities about different cultures,no
"Do conversation dailly with students, and make them speak, do homework ",no
Do conversation with so they can improve english,yes
DO ING MORE PRACTICES IN MOOCS,yes
"Do it in French or Arabic, or other languages.",yes
do it in the best way©,no
Do livestreams and connect through skype for the students to talk to each other or with the professors.,no
Do lots of conversations to help them speak english,yes
Do more  good activities ,yes
Do more advertisement.,yes
do more of these courses,no
Do more practices,yes
"do more videos from people  different countries, becase they have another accent.",no
Do no have an experience with them yet,yes
do not ask so meny questions,no
do not change it,yes
do not change MOOC FOR NON NATIV ENGLISH SPEAKER.,yes
do not know,no
do not know,yes
do not know,no
do not know because I have not taken a moot before.,yes
do not know I have not take the course yet once I take it I can talk what can be improve it on it.,yes
DO NOT KNOW JET,no
Do not know yet,no
do not use difficult words which will difficult to keep in memory or difficult to speek.,yes
Do not want to change it,yes
Do some interactive courses.,yes
Do some interviews with them and ask them how you can help to improve skills because each and every student have different reasons ,yes
Do the translations in brackets,yes
"Do this course
",yes
Do you best,yes
do your best.,yes
doble languages  ,no
Doe not apply to me,yes
Does not aply to me. It's my first one,no
Does not apply to me,no
Does not apply to me because I've never taken a online course in english before.,no
Does not apply to me! :),no
Doesn't apply on me.,yes
"doing activities with things they like for example movie and series, songs ",no
Doing beginners courses and practice the improving of the language ,yes
doing conversations ,no
doing courses about their local areas,no
"Doing courses nicer, easy to understand and very motivational. With knowledge to help the 
people have fun learning.",no
Doing every thing in English,no
doing it more interactive and that we can talk and practice more with many people,no
Doing many exercises and evaluations of the results. I think is important that you say me my mistakes and how I may improve.,no
doing MOOCs by their native language,yes
Doing more activities ,no
doing more curses,no
Doing more exercises for them.,no
Doing more friendly the web page,yes
Doing more interactive,yes
"Doing practice in English by speaking, because this is a course called ""Conversational English Skills"".",no
doing simple English courses,no
Doing speaking practice,yes
doing that you are doing,no
"Doing the MOOCs with language options, such as translators or subtitles in the language required by the student.

Expanding the network of the knowledge with another universities of the other countries.",no
doing the resources been accesibles for the student,yes
Doing them very funny and easy to follow the course.,no
don;t have any opinion,yes
Don;t know,yes
Don´t do the same survey twice. ,no
DoNot change,yes
dont,no
"dont aply with me, is my firts time with you.",no
Don't apply,yes
dont ask them on that many questions,no
Don't change anything keep improving them,no
"Don't change anything!
",no
"Don't change it,  is fine!",no
Don't change MOOCs just help them by giving proper idea on MOOCs.,yes
Don't have comments now ,no
dont know,no
dont know,yes
dont know,yes
dont know,no
Dont know,no
dont know,yes
Dont know,yes
dont know,yes
DOnt know,yes
don't know,no
Don't know,yes
Don't know,yes
don't know,yes
don't know,no
don't know,yes
Don't know,no
don't know,yes
Don't know,yes
Don't know ,yes
Don't know ,no
"Don't know , no idea.",yes
dont know I am new here,yes
"Don't know much , But every day practice will help a lot.",yes
Don't know much about it as it is my first MOOC.,yes
don't know right now,yes
"dont know right now
",yes
dont know whether all your video lectures have subtitles but definitely that'd help a lot of people.,no
Dont know yet,yes
Dont know yet,yes
Don't know yet,yes
don't know yet,no
Don't know yet,yes
don't know yet,yes
"don't know yet, will see",yes
"dont know
",no
"Dont know, for now...",yes
Don't know.. That's why I take this course :),no
"Don't make students pay, just let them take the course.",yes
dont make the survey too long,no
don't make these surveys in english.,no
"Dont need to change ur organization is awesome.
",yes
"dont now yet, but i think any tools you put for improve the knowledge student will be thank you.",no
don't speak too fast,no
"Don't use abbreviations regularly, don't speak very fast. ",no
don't use many hard words,yes
Dont want to answer yet.,yes
Don't.,yes
download more courses ,yes
Downloadable material,no
"Курс английского языка для русскоговорящих, с пояснениями",no
"duolinguo app is a great tool that i used before to learn other languages

",no
😊,no
E,no
easily understandable  manner,yes
Easy,yes
"Easy and comprehensive lessons, online feedback, practice lessons. Educational approach.",no
Easy and simple courses,yes
Easy comunication of the beggining.,no
easy english and sub title,no
"easy guidelines and step wise activities can help them , even some listening and speaking activities can help them",yes
EASY LANGUAGE AND WORDS,no
Easy to difficult,no
easy to learn with examples,yes
Easy vocabulary and patience.,no
easy way to read and understand,no
"Edx Platform is a very convenient place to learn English, because somebody can easily practice listening and reading through the course presentation and its transcription. To help them understanding, you can add translation",no
Effort,yes
elementary courses,no
Email.,no
Embrace shadowing,yes
En çok hangi ülkelerde kullanan varsa o ülkelerin dillerinde videolara alt yazı yapılabilir.,no
En el nivel básico de inglés sería bueno comenzar con una introducción pequeña en el idioma nativo del participante.,yes
en esta plataforma es mi primer curso.,no
Enabling interaction among students.,no
Enabling them to speak to Native English speakers more and more,no
Encourage and motivate students to take classes.,yes
"Encourage students 1) To learn to speak by speaking.
                                     2) To develop a ""thick skin"" by keep on trying if he or she makes mistakes.
                                     3) Engage friendly foreigners in conversation whenever possible.",yes
Encourage students speak as much as possible in variety ways ,no
encourage the teaching assistants to be more helpful and active in solving the students' problems.,yes
encourage them more ,yes
Encourage them to speak in a group ,yes
Encourage them to undergo this course,yes
Encouragement and guidance will do good.,yes
encouragement that english is an easy language and that the course is multi cultiral. You will meet new people,no
encouraging self engagement to practice,yes
Encouraging them on the need to interact with other people .,yes
Encouraging them to exchange their standpoints or views online.,no
Encouraging them to talk more and more.,no
"Enfásis en Speaking, es lo que más se le dificulta a un no nativo de inglés",no
English,no
English and Spanish subtitles.,no
English courses here in brazil are very expensive. it is a good way to help people,yes
English initiation courses ,no
"English is almost an universal lenguaje, that allow people communicate each other. To improve their career in english speaking Jobs. ",no
"English is every where in the word
I want to learn Enlish for my future",no
"English is not a problem you want to learn something just go for it don't think just do it and you will see the difference 
",yes
"English is the international language, so they have to adapt themselves. ",yes
English MOOCS can be improved by hiring the native English speaking teachers.,yes
English subtitle,yes
English Subtitles,yes
English subtitles,no
"English subtitles in the videos, references about the topic in other countries (laws, statements, strategies...), etc.",yes
English subtitles place,no
"English will be needed sooner or later in their careers, which means people should start learning English and take courses that are provided in English.",no
Enough for me......,yes
enough surveys ,yes
ENROLL IN WITH PRACTICES AND EXPERIENCES WHICH ARE MADE  BY THE DEVELOPMENTS OF THIS COURSE,yes
Enroll them with native speakers so they can listen and speak more fluency ,yes
enseñando ,no
"Enseñar a Escuchar el idioma en otras personas y en uno mismo
",no
Ensinar técnicas de conversação ,no
"Es la primera vez que tomo un un curso, estoy muy emocionado y espero me pueda ayudar a mejorar y aprender nuevas cosas del idioma ingles. 
",no
es la primera vez que voy tomar este curso.,no
es mi primer experiencia con moocs por lo tanto no podría responder esta pregunta,no
español,no
"Esta es mi primera experiencia, luego de pasar por ella podría sugerir o comentar alguna mejora.",no
"Establish many events or class where the people can speak and know new friends and cultures, this is good to improve the listening skill.",no
"Este tipo de cursos permiten mejorar las diferentes habilidades en el aprendizaje de una nueva lengua, ya que se hace constante la practica y la interacción con otras personas. ",no
eu acredito que pode ajudar através de aulas e provas,no
"Eu consegui responder esse questionário por causa do tradutor. Fazer um site na língua local de cada aluno deve está fora de questão, por isso acho que o MOOC está ótimo assim. 
                                                 
 Parabéns a todos que contribuem para uma realização para alunos como eu.",no
"Eu consegui responder este questionário por causa do tradutor, acho que fazer uma página no idioma do aluno seria impossível. 
Parabéns a todos que estiveram e contribuem para essa iniciativa maravilhosa.",no
Evaluate us,no
even I do not know,no
Ever improve myself.,yes
Everithing is all right.,no
Everityng is ok for me,no
"Every media resource must have the English script. MOOCs courses should offer an EFL summary of each lesson and topic.  Teaching materials must use different audiovisual resources, images, concept maps, graphics, computer graphics and audios.",no
every MOOC has the option to translate it to any language as possible or at least 4 different languages.,yes
Every non native english student should practice to become more effective. Choosing to keep subtitles in native language for foreign student should be interesting. ,yes
Every person want differently  tetment so met to person and know hes/hir habit .....,yes
every student should make their efforts,no
Every video lessons should include transcript so that no-native English speakers can catch up easily what the lecture is talking about.,yes
"every week a new topic.
",yes
Everybody has differents ways to learn but the most important is the grammar with really good bases you can grow quickly ,no
Everyday course with reminders ,yes
"everyday english
Videos with dialogue in everyday situation",no
"everyone can't talk with people in there language it's thing like the blind in street 
learning language is very important thing for life",yes
Everyone will be knowing English(not fully). For non native English speakers use simple words so that they can easily understand what you are going to tell them.,yes
Everything is alright :) ,no
everything is enough,no
Everything is fine,no
everything is fine,no
everything is fine,no
Everything is fine ,yes
everything is fine to me,no
"Everything is fine, I am first time user of this...",yes
Everything is fine.,yes
Everything is fine.,yes
everything is free,yes
Everything is good at the moment,no
everything is good.,yes
Everything is ok for now ,yes
Everything is ok till now.,yes
"Everything is OK, for me. ",no
Everything is ok.,no
everything is perfect,no
Everything seems good as of now. ,no
everything very well!,no
"everything will come based on the intrest and goal if they want they will learn
",yes
Everythings are fine!,yes
Everything's ok,no
Everything's right ,no
"exactly by this way. Most students who arent native english speakers, havent  enought economical resources to accomplish this courses.",no
"Exactly I don't know, because this is the first MOOC I ever took. ",no
Excellent methodology for me until now,no
Excellent work.,yes
Excersize,no
'-exchange information,no
exercises focusing on listen and speaking...,no
explain  difficult words and phrases,no
Explain  the phonetics rules . ,yes
Explain briefly and in detailed,yes
explain important concept first.,yes
"explain in different ways the grammar, show more examples",no
explain keywords and teach some grammar after completed an unit,yes
explain the english grammer and build a english environment that help us use English.,no
explain them in best way considering our native language,yes
Explaining everything slowly,no
"Explaining idioms, ways to talk on the streets, the real meaning of some difficult words etc.",no
Explaining some words or colloquialism that we maybe do not understand because there are very folk words or the meaning are very understandable just  for native speakers.,yes
explaining the terms of the most simple way.,no
"explicar brevemente cuando usar una forma u otra, ejemplo cuando usar ""no"" ó ""not"" ó cuando usar ""say"" o ""tell"" ó ""one"" ó ""a, an""  etc..",no
Expose them to the hard yet used words and terms,yes
Exposing them to native speakers where a lot of interaction takes place.,yes
Extend the MOOC to include my languages ,no
Extra scholar activities  like conversation meetings  ,yes
"face to face interview using skype, viber, fb messenger like natural disccussing",yes
face to face talking!!,no
facilitate speaking practice with native English speakers.,yes
famous literature books recommendations,yes
Fazendo boas traduções.,no
fbf shbg  hfsb shbv hjbfv jhsv,yes
FDGFDGDF,no
Feedback by e-mail.,no
Feel comfortable speaking english,no
Financial aid.,yes
Find creative ways to learn English,no
find some foreigners to talk with non -native English speakers every day,no
Find the best method and syllabus to help students learning English.,yes
"find them interpreter in their native language who speaks English natively 
",yes
"First I have to take the MOOC, then I will be pleased to cooperate.",no
first i learn then i tell you,yes
First I need to experience to give a reasonable comment. Anyway participation in open forums will definitely help,yes
First I need to experience to give a reasonable comment. Anyway participation is going to improve our skills. ,yes
"First I need to take the course, after I will talk about that one.",no
"first I want take and start this course then anything could be say about the improvement
",no
First I will complete the course then I will come back to this section of feedback forum and suggest changes if required.,yes
"First invite them  and reassure that it is a great and beautiful adventure

please will you refer to Harrap's Michel Thomas effective technique.",no
"First it.s honor to participate in such great survey for improving moocs,.
I'm on of the non-native English speakers( Arabic my native language ), i suggest adding a different non-native english culture topics in Moocs will encourage students to interact rapidly and get motivated in Moocs. Thank you for your time ",yes
First of all teach your instructors some ENGLISH !!!,yes
First of all you should have to invite them and then teach them by basics,yes
"First of all, facilitating all the tools or devices necessaries so that no-native English speakers can take advance of them to improve their language skills in English and use them in a real-context with the purpose to communicate. ",no
"first of all, i can't say anything because i don't know how to help student who are non-native speakers.",yes
"First of All, I have to complete a MOOC then I can suggest you on this matter.",yes
"First of all, thank you for all that you offer in this great site. I am a new student here but in the near future I will give you my suggestions as soon as I get enough experience in your courses. Anyway I'm trying to develop my English to get a PhD in law from one of your great universities. So I hope to get a course in legal language soon. How grateful I am for your work. thank you very much",yes
First relate english language to their native language,yes
First time exposure to MOOC so want to see the course content first,yes
First time user to get experience yet,yes
first u make them to learn english by providing them some apps and later u can teach them,yes
first use there own language,yes
"First you can create MOOC in other language like French, Spanish and so one. You can also create courses to help students to learn English language.  ",yes
"First, I have to know how it works.",no
"First, I need to take a course.",no
"first, we must to have a basic skills in English language and after motivate for attempt your gold ",yes
firstly by providing them some english skills ,yes
Firstly I have to do it and then I will have a coplete suggestion.,no
firstly I will try this course then i can answer your question?,yes
Float English learning courses or try to use very simple English words during MOOC lectures with the help of elaborated examples.,yes
"Flor me it is East echen Tere are subtitular in English, tía help me yo real, listen más quite, echen i do my summary",no
Flow as much as possible the MOOC's ,no
Fluency,no
Fluency of English speaking depends on the conversation.You people should arrange some native English speakers to talk to non native speakers on daily schedule.,yes
fo now i don't now i will see how it like the lesson,no
Focus in 4 language skills and provide more courses teaching by language professionals ,yes
focus on conversation and vocabulary,no
focus on every day setting ,no
"Following the way to be the best
Pedro",no
following your promises.,no
For a begginer can be a litle bit difficult to start in this model.,no
"For beginners, you can add courses with a local cultural background so that participants are more receptive.",no
For easy communication ,yes
"for example IELTS, I wish IELTS exams can be done online.",yes
"For example you can add subtitles in the student's native langage so he/she will understand the courses .. anyway for me, I think is very easy to understand the content( I am not an English native speaker) ",no
For example you can do an oral exams online to test students if they progress in their way of speaking or not,no
For help us,no
for interactions,yes
"For intermediate English speakers you can provide subtitles and levels for the courses. For example if existed the option to take a pre-course of something, with a low English level. Maybe this could help for intermediate non-native English speakers. On the contrary, for advance English level of non-native speakers I think these Open Courses are the best way to learn something new and at the same time improved English. I would definitely prefer to listen to native speakers during the sessions.",no
"for me , i think that don't have to change anything.",no
For me are ok. I enjoy it a lot. Thanks,no
"For me English is everything, I'm 30 Years and nothing hold me back than not knowing English Language I'm working hard So that I can advance my career",yes
For me i have no comments for that matter.cause it can help everyone.,yes
"for me is fine, I enjoyed the courses, I do not have anything on mind",yes
"for me is good, it is a good chance to get knowledge",no
"For me isn't too hard in this case because is elemental this course
You can use the native languages in each case.",no
"For me it is fine. I just get started to take this MOOC, so I can not give more feedback until I finished it. I just want to thank you for this MOOC. God bless you!",yes
For me it's all Ok.,no
For me it's perfect,yes
For me subtitles always works well,no
"For me that the videos has subtitles is very important, at firts if I can't understand then I listen again reading the subtitles . 
Is my first time taking courses online. Thank you very much for your course, I hope improve my english and have the oportunity to increase my speaking and understand levels.",yes
For me theses courses are excellent !! ,no
"For me, this way is very good manner to help students and people who want to speak good English.",no
"For me, use dictionary, small texts and videos according to the level of the student.",no
"For me,would you like provide Chinese captions?",no
"For my personal point of view as a Korean immigrant to the States, Many  koreans are willing to learn English language or English language related course works by any means. Among them, college students are spending incredibly expensive cost for being 'exchange students' or even parents of preschoolers are hiring private Englsih teacher to help their children to go to top branded universities and colleges since thier certificate of graduation from top branded colleges have been used for them to generate profits and many Koreans believe good college education will bring them a better life or to be successful in the end. Ability to utilize English language is a key to differencitate people from those who have 'ALL' and 'NOTHING' in the  Hell Chosun Dynasty. MOOCs, therefore, need to create a system that will connect socially less fortunate Koreans with top branded schools in Seoul especially and thier credits will be transferable. ",yes
"For non native English speakers especially who hail from India where in the English is the mode of teaching (except for the government schools )language they face difficulty in communicating (accent) ,when students   move abroad for either pursuing higher education or for their work . 
In this senerio my suggestion will be incorporating a weekly online class for the accent and improvement of  communication.... 
And also more advertisement so that students can join into such online courses 

Thank you for reading 
Kindly excuse my mistakes 
",yes
"For non-native English Speakers , I guess MOOCs should develop and provide online courses which will suit to students learning needs and level.",yes
"For now ,i dont know how can u chage MOOCs to help students who are non-native English speakers,because i am new to have MOOCs. I dont know so much about MOOCs currently.But i am now study on some cours to know about the subject and MOOCs.I wish more excellent course for low level enlish learner to study on ENGLISH.For example,give a serial course  to guide low level Enlgish learner how to study on Enlish.TKS!",no
For now everything I stared was great ,yes
"For now I do not know, yet I did not rate.",no
for now i have no idea,yes
For now I think it's ok,no
for now it´s fine,no
"For now, I don't know, because it's my first experience in this model. I need take the new oportunity to learn a betters my pronuntiation.",no
For once maybe have an option to translate some thing at the very start of the course so students who are not really acquainted with the language can actually understand what they're applying. ,no
"for people that does not speak English at all, the quesrionary should be available in his local lenguage",no
"for real  it's the first time that i take a MOOC, but i fell that it will be very intresting",yes
"For some people will be so difficult to read in English at the beginning, so maybe you should ask if they want to start the course with the commands in there native language ",no
"For the moment, nothing",no
"For the student who is not good at English, like me, it would be very helpful if there're any courses which is expressed by basic (easy) English.",no
For understanting,no
Foucs on speaking more than writing and try to learn english accent ,yes
Frankly i do not know,no
"Frankly, I have no idea :-) I am not a teacher of English",no
free certefication,no
Free charge for courses and issue certificate for students from low income countries as Viet Nam.,no
FREE EDUCATION,yes
free moocs,no
Free of Charge is a kind of great help ,yes
Free online course,yes
frequent interaction,yes
From films and short story with subtitles,yes
From my personal point of view there must be various courses that must be available in MOOC and at very economical rates. People find it interesting when they get a course or a subject according to their likes. Altoghether there should be various interesting courses from different fields or background.,yes
"from my perspective, it is all good, nothing need to be changed.",yes
From my point of view a greater number of listening exercises would help to get used to the rhythm and different accents of English speakers.,no
From my point of view that MOOCs goes well for Nonnatives English Language,yes
"From my point of view, currently, you are doing it in the best way possible!",no
"From my point of view, it is great for students to have reading resource. Not just reference, but detailed readings.",yes
from the basic to the intermediate,no
From what I have seen everything seems to be okay.,yes
fucking teach them,yes
"full clases audiovisual y practicasssss,",no
Full easy sentences in everyday activities,yes
full information about english culture.,no
Further develop teaching methodologies,yes
games,no
"Generally, the non-native english speakers are afraid of writting, speaking, because we not have enough confidence to do it, so I think this is very important for improve.",no
Get a personal contact whit the student,no
Get available the translation of lessons.,no
get better skills to comunicate,no
Get more exercises as more they can,yes
Get more popular courses to reach students who are non-native English speakers,yes
get more practice with them.,no
Get more skills to understand the english easy,no
Get new experiences !,no
Get new tools in order yo improbe my listening and speaking in English.,no
Get personal contact with the student,no
get the mooc free,yes
"getting more involve in internet  
English is the global laugage",yes
Getting skills in english speaking,no
ggjhhhhhhhhhhhh,yes
giới thiệu khóa học đến cho mọi người cùng biết để học ,no
Ginving examples in their native language,no
Give a chance that you learn the question in other language.,no
Give a lot of assignmnet and quizes,yes
give a lot of examples and short movie.,yes
Give a lot of practice,no
give a translate tools maybe,no
give a translator,yes
Give addicional informations where we can find translations of words used in courses. Speak slowly on the videos. ,no
Give all the information in english not in chinese.,no
Give attractive price to intercambium,no
give basics for beginers,yes
Give better and useful feedback,no
Give course for english speakers,no
Give diverse kind of material,yes
Give easy way to learn more ,yes
give extra materials for the courses,no
Give firstly a very basic level of english training and then engnge with advanced,yes
Give for them interactive class and possibility to talk with native teachers.,no
give free certificate to motivate them,no
give instruction,yes
give instruction,yes
Give instructions and motivations for get another lenguage ,no
Give language converter  (voice) software for every language.😁,yes
Give more available session in MOOC in regular time. ,no
give more chance to student for speaking,no
Give more course like this ,yes
give more courses,no
Give more examples,yes
Give more excercise,yes
give more exemple ,yes
Give more exercises to pratice.,yes
give more lesson ,yes
"give more platform or chance for speakers communicating with each other
maybe a online discussion",no
"Give more practice axercises and, if it's possible, check them in feedback. Find some way to connect non-native English speakers with native English speakers for dialogue or chat.",no
Give more practice homework,yes
Give more Self-paced modules,yes
Give more tools and topics for learn. ,yes
Give new information ,yes
give other audio options,yes
give some skills about learning English,no
Give some topics to continue learning English ,no
Give subtitles. ,yes
give that student new speaking opportunities,yes
Give the best advice considering the best practices at the moment.,yes
"give the chance to speak direct to the professional 
and correct the our mistake",yes
give the courses in English is very good because this reason we must to learn English and that help us,no
give them feedback,yes
Give them free,yes
Give them hope to achieved onother goal in their life.let them believe in their self that no matter what or hard the subjects is ...they will always win at the end!,yes
give them idea to speak,yes
Give them knowledge about how to use the basic English for normal conversations.Better to use their native language to teach them English.,yes
Give them more chance to speak,yes
give them more interchange ,yes
"give them more possibilities to practice, like they say practice makes perfect, and don'tforget to add the subtitle on the videos inorder to help undarstand the videos.",no
Give them more resources and practice material.,yes
Give them option in their languages ,yes
Give them slowly 👍 ,no
Give them the best way to understand a lot of english language therefore they will improve their english,yes
Give them the opportunity to learn and facilitate the process of explanation,yes
GIVE THEM THE SUPPORT WHENEVER APPLICABLE,yes
Give to non-native English speakers opportunity to learn new subjects in their native languages. ,no
Give translator options an have bilingual instructors,no
give us more chances to interact with teachers and students in oral English.,no
Give us more listening and speaking practice.,no
Give us practice and feedback. ,yes
Give us the pronunciation help in order to practice English correctly,no
give vocabulary tips,yes
gives a chance to whom want to study english to meet a native english speakers ,yes
Givin real practice among students and teachers,no
Giving a detailed explanations of the topics.,no
Giving a lot of advices for him in to how to acheive their goals,no
Giving a lot of excercises to practice more ...focusing in listening and speaking skills.,yes
"giving a practical situations, with a lot of vocabulary. 
Real examples. 
it is all i remember now. ",no
giving alll the resources ,no
Giving an easy access to the course's tools and support in various languages.,no
"Giving classes with legend options.
",no
GIVING CLOSED CAPTION OPTIONS IN DIFFENTES LANGUAGES,yes
giving courses from basics to expert,no
GIVING FACILITIES TO LEARN ENGLISH,no
"Giving free knowledge
",yes
Giving general points ,no
giving instruments to get goals,yes
Giving mor resources to learn more english,yes
giving more courses,yes
"Giving more courses to improve the english level, in speaking, reading and writing mode,",no
Giving more examples about native expressions. ,no
"giving more experience of listening, interacting  reading and speaking",yes
Giving more oportunities like this,no
"giving more opportunities for people to interacting with one another no matter languages they speak
more easy to relate to graphic",yes
giving more real tools to learn english,yes
Giving more time to do exercises ,no
"Giving preparation for the tests for English qualifications (TOEFL, TOEIC).",no
giving promotion to the course to make this knowledge more interested,yes
GIVING REAL EXAMPLES ABOUT DIFERENTS TOPICS ,no
Giving short courses and release audios like podcast with different topics acording with the level they have,no
"Giving simple tips and orientations, to keep ussing the english.",no
giving the instructions in another language if the students have never take english lessons.,no
Giving the opportunity that the course can be translated,no
Giving the opportunity to have a translated version,no
Giving the opportunity to learn.,no
Giving the proper feedback about their learning process,yes
Giving the students translation tools.,no
Giving the tools to help them ,yes
giving them a chance to practice data today English.,yes
Giving them information about how to do the classes,yes
Giving them more information.,yes
Giving them more options to interact with the teachers,no
"Giving them new oportunities like this, so people like me, can have the oportunitie to improve their skills.",no
Giving them opportunity to keep in contact with the language.,yes
Giving them the best Platform to learn and prepare ,yes
"Giving them tools to translate or ask for help, trying to explain the topics easily",no
giving they more examples,no
Giving tools for understand better the things you pretend to teach.,no
Giving us a glossary of words ,no
Giving us the oportunity for practice English with other students online,no
"Giving us the tools to improve our skills, specially we have less experience or most difficulty, in my case it is the listening.",no
glosary at the final to new vocabulary,no
go and see,no
good,no
